id,name,lat,lon
670,670,-33.46927649855294,-70.6025008366888
671,671,-33.47485390812648,-70.59682144622134
672,672,-33.46052704731758,-70.58926015021034
673,673,-33.4661044981147,-70.5835812154777
674,674,-33.462112911369815,-70.59871979070483
675,675,-33.47725652089338,-70.57222329413253
676,676,-33.48283109279442,-70.56654430774302
677,677,-33.4788437624711,-70.58168227658136
678,678,-33.484418793541444,-70.57600307046883
679,679,-33.47009356113591,-70.5684438406868
680,680,-33.47566863355485,-70.56276509123319
681,681,-33.47168098932007,-70.57790226341457
682,682,-33.43744453535876,-70.56846344401866
683,683,-33.443023028119136,-70.56278543927148
684,684,-33.43903160397541,-70.57792062718357
685,685,-33.444610555851405,-70.57224240266626
686,686,-33.43027782870003,-70.56468480816832
687,687,-33.43585682177771,-70.5590070403243
688,688,-33.43186508318032,-70.57414143173814
689,689,-33.44701192964718,-70.54765145422587
690,690,-33.452588044358045,-70.54197363619437
691,691,-33.448600561420875,-70.5571074176081
692,692,-33.45417713522349,-70.55142937913993
693,693,-33.43984603804077,-70.5438738521894
694,694,-33.44542265317079,-70.53819627131747
695,695,-33.441434855440264,-70.55332925563962
696,696,-33.447783675572694,-70.59115866706888
697,697,-33.453362586265804,-70.5854799864112
698,698,-33.449369267110214,-70.60061796723826
699,699,-33.45494863696922,-70.59493906750102
700,700,-33.44061802740186,-70.58737858940006
701,701,-33.44619743841118,-70.58170014540511
702,702,-33.442203805412376,-70.59683733024885
1142,1142,-33.35762477987987,-70.25120670770615
1145,1145,-33.34488224447546,-70.2531169447992
1146,1146,-33.3504495179846,-70.24744733863464
1150,1150,-33.35452086985002,-70.30970549601405
1153,1153,-33.35131054444158,-70.29083947879305
1279,1279,-33.35698332673064,-70.51746595604236
1280,1280,-33.36256686245232,-70.51179078007416
1282,1282,-33.364157066539065,-70.52124080445702
1283,1283,-33.349808903399044,-70.51369143035188
1284,1284,-33.35539293913217,-70.5080164917166
1285,1285,-33.35139883207706,-70.52314111600072
1286,1286,-33.36655813377061,-70.49666656708791
1288,1288,-33.368149439200835,-70.50611558820745
1289,1289,-33.373731056935085,-70.5004403805535
1290,1290,-33.35938452721769,-70.49289307642604
1292,1292,-33.36097601593642,-70.50234153725819
1293,1293,-33.367335546520295,-70.54014319625405
1294,1294,-33.37291950011838,-70.53446734104745
1296,1296,-33.37450823454582,-70.54391948709667
1299,1299,-33.36175063394024,-70.54581903500186
1300,1300,-33.37691265821113,-70.51934032505874
1302,1302,-33.37850249469315,-70.5287914694933
1304,1304,-33.369740102219716,-70.51556539118535
1305,1305,-33.37532217888302,-70.50988996193972
1308,1308,-33.34263379676773,-70.50991722737699
1310,1310,-33.34422390877832,-70.51936635305276
1311,1311,-33.329872012594514,-70.51181779520661
1313,1313,-33.3314618488498,-70.5212665822346
1316,1316,-33.34821833248269,-70.50424252610402
1317,1317,-33.3538019093131,-70.49856780908327
1321,1321,-33.34740220580551,-70.53826694731528
1322,1322,-33.35298811829056,-70.53259158263326
1324,1324,-33.35457676181343,-70.54204282983208
1327,1327,-33.34181533446867,-70.5439422955781
1344,1344,-33.407994569056186,-70.50986268935405
1346,1346,-33.39923320962774,-70.49663756349527
1348,1348,-33.400824881937375,-70.50608782202843
1370,1370,-33.38648345499348,-70.49853905597185
1372,1372,-33.38807485220601,-70.50798897593049
1373,1373,-33.393654510508874,-70.50231327757058
1376,1376,-33.380903296487915,-70.50421451683145
1378,1378,-33.37368478738479,-70.57795734027603
1384,1384,-33.37768377322679,-70.5628261193423
1385,1385,-33.383268144801235,-70.55714958651411
1386,1386,-33.379270577028514,-70.57228060470231
1387,1387,-33.384855407637936,-70.5666038520335
1389,1389,-33.37609632565728,-70.55337241333432
1392,1392,-33.3840271235697,-70.60064873270773
1393,1393,-33.38002372407642,-70.61578394255228
1394,1394,-33.385611350043455,-70.61010633128785
1398,1398,-33.38802800115719,-70.5855147203307
1399,1399,-33.39361279080778,-70.57983751149968
1400,1400,-33.38961333138835,-70.5949713222709
1401,1401,-33.39519858012352,-70.58929389428918
1402,1402,-33.38085673683669,-70.5817358689958
1403,1403,-33.38644202649849,-70.57605889677859
1404,1404,-33.382442252425605,-70.59119191180395
1416,1416,-33.35057793200025,-70.55717066267567
1426,1426,-33.4071851389049,-70.54389667263453
1427,1427,-33.41276517372328,-70.53821983616079
1428,1428,-33.40877359394796,-70.55335083731622
1429,1429,-33.414354087804824,-70.5476737803592
1430,1430,-33.40001550492116,-70.54011988769419
1431,1431,-33.4055960399562,-70.53444328834706
1432,1432,-33.401604144846196,-70.54957349257008
1435,1435,-33.418344249260485,-70.53254298326017
1436,1436,-33.42392236547591,-70.52686611404413
1437,1437,-33.40958541412276,-70.51931429024044
1438,1438,-33.41516357164272,-70.51363787955607
1439,1439,-33.41117561575387,-70.52876667264856
1440,1440,-33.41752998340016,-70.56658400914175
1441,1441,-33.4231104360972,-70.56090649510682
1442,1442,-33.419116964462084,-70.57604029288892
1443,1443,-33.424697876247876,-70.57036255906034
1444,1444,-33.41036140485937,-70.56280578197384
1445,1445,-33.41594235777244,-70.55712850482563
1446,1446,-33.41194857141317,-70.57226150618885
1447,1447,-33.42710138569655,-70.54577390023832
1448,1448,-33.432679460626154,-70.54009657302204
1449,1449,-33.42868992946346,-70.5552289641955
1450,1450,-33.43426846345818,-70.54955141651925
1451,1451,-33.41993362237751,-70.54199670678835
1452,1452,-33.425512197625345,-70.53631961671515
1453,1453,-33.42152235139843,-70.55145121087666
1454,1454,-33.387263191700946,-70.54201977133349
